"","startdate","enddate","duration","worry","chosen_emotion","anger","disgust","fear","anxiety","sadness","happiness","relaxation","desire","text_long","text_short","self_rating_general","self_rating_short","self_rating_long","twitter_general_often","twitter_tweet_often","twitter_participate_often","eng_native"
"1","2020-04-06 07:50:34","2020-04-06 07:55:33","298","4","Relaxation","3","4","3","4","2","3","6","6","Frustrated at the lack of clear guidelines to follow and the lack of most peoples awareness of the problems. 
Relaxed in terms of current situation. Have enough of what I need not to have to worry or be concerned currently. 
Concerned about family members that could be the most at risk and the problems that them getting ill would cause.
Slightly helpless due to living at distance from family so being unable to help with anything if they need it. 
Grateful of the available technology so that I can keep in touch and be in contact with a lot of different people","This is only going to get worse before it gets better. Stay at home. ","4","7","8","7","5","7","Yes"
"2","2020-04-06 07:51:27","2020-04-06 07:55:49","262","6","Anxiety","1","1","5","8","6","3","1","1","I’m deeply concerned about the affect of the Coronavirus not just on those I know but my country as a whole. This situation has shown some as truly selfish beings and others as the kindest of kind. It’s also not just the health implications but the financial and mental implications that scare me. I am currently awaiting confirmation from work that they will furlough me due to no childcare to allow me to work. If they won’t furlough me I will be on zero pay and I’m a single parent. Even with a slight top up to my universal credit I will still be hundreds down each month. ","Scared, worried and anxious for the future of my family and country. An unprecedented situation calls for unprecedented anxiety. ","6","7","7","9","5","2","Yes"
"3","2020-04-06 07:51:13","2020-04-06 07:55:59","285","5","Anxiety","6","5","8","7","6","2","2","2","I feel fed up with waking up and doing the exact same thing everyday. I feel frustrated that there's nothing I can do about it. I feel anxious about what is going to happen over the coming weeks. I feel angry that some people seem to be ignoring the rules based on what I've seen on the news - if I am going to be spending my birthday on my own and not seeing half of my family or any of my friends, then what gives others the right to picnic in parks as if lives aren't ending every day? It is a really frustrating situation. However, I also feel excited when I think of the lockdown lifting and being able to see my boyfriend again. ","Pretty annoying that I have to be alone of my birthday whilst some idiots are going about their life like it's normal. ","6","7","8","7","3","3","Yes"
"4","2020-04-06 07:51:48","2020-04-06 07:56:47","299","4","Anxiety","2","1","3","4","1","4","5","2","feel anxious about how its going to spread, how long the lockdown is going to last and the uncertainty of it all. worried about family catching it or being in contact, so feel quite isolated at the minute as not seeing family or friends. am worried that food might fun out and shortages come because of supply problems. feel anxious seeing and watching stuff about coronavirus all the time, feel suffocated the amount it is talked about on television and am worried about it coming back when he open back up the country ","Feel worried about the situation, anxious about how long lockdown will last and worried seeing all the news and shows about coronavirus.","6","7","7","9","6","7","Yes"
"5","2020-04-06 07:51:27","2020-04-06 07:56:55","328","9","Fear","5","6","9","8","8","2","1","1","I am very worried that I might contract Coronavirus I have to care for my elderly father and I worry I might pass it into him I’m also worried about job security and paying my bills I am also very scared when I go and do the basic things like shopping for groceries and I will put this off until the last minute. I am also very angry that some people are just ignoring the social distancing and not following the rules that the government have laid out. I am also concerned that our leader Boris Johnson has been admitted into hospital with Coronavirus symptoms and I hope for a speedy recovery as he was doing such a great job and I worry that his replacement will do such a good job the nation needs him ","I am very scared and worried about contracting the virus and becoming unwell ","9","9","9","9","1","2","Yes"
"6","2020-04-06 07:50:32","2020-04-06 07:57:11","399","9","Anxiety","8","8","9","9","6","5","3","3","Right now i feel anxious about COVID-19 as i don't want any of my family or friends to get the virus. I have a few family members in the vulnerable category so praying they don't get it. I am also concerned about my university degree which is up in the air at the moment as in am in final year and don't have much support from the university. We have exams and presentations coming up and have not been given any guidance on whether they will go ahead or be cancelled. I am also concerned about my future job prospects as graduates and placement jobs are unrealistic at this moment in time.","Feeling disgusted by those who are going to beaches and parks and sunbathing. Why cant they do this in their own back gardens? It doesn't make sense. I thank the NHS for all their amazing work and hope the community can do everything to support them!","8","6","9","9","2","2","Yes"
"7","2020-04-06 07:50:24","2020-04-06 07:57:27","423","7","Anxiety","4","2","6","8","6","5","7","4","My main moods during this time are anxiety and worry. I am worried for family members that are high risk from this coronavirus, and I am constantly anxious about the situation and wish for it to be over as soon as possible. I am sad for the world and all the people it has lost and concerned that we will loose loads more. I'm also angry at the government for not putting anything in place sooner to stop the spread of the coronavirus. I'm also worried that my husbands work place will soon close down if the virus spreads in our area.","I'm really worried about everyone getting coronavirus, it can literally effect anyone and its really scary. Everyone needs to stay indoors and stay safe.","7","8","7","9","8","6","Yes"
"8","2020-04-06 07:51:55","2020-04-06 07:57:33","338","7","Fear","2","2","7","6","1","6","2","1","The situation brings about a lot of uncertainty which naturally raises fear as we do not know how the future looks like. I am grateful I still have my income, the lockdown situation has helped me save money which makes me happy. However I am concerned for those families who do not have an income or the support they need. It has raised some feelings of anxiety in terms of the precautions which have to be taken when going outdoors. It is scary how fast the situation can change and seeing the news be about nothing but coronavirus.","Coronavirus has raised anxiety amongst a lot of us, it is important we take care of our health during these times","9","7","8","9","1","1","Yes"
"9","2020-04-06 07:52:08","2020-04-06 07:57:51","343","3","Sadness","3","2","5","5","5","5","4","4","Concerned that not all people are taking the situation seriously and that this could others at risk. I feel frustrated that shops don’t always have want I want because people take more than they need. I feel annoyed when I see pictures of wasted food. I am trying to enjoy being with my family and ensure that my children don’t become anxious about the current situation. I feel as though it is my role to protect my family but by doing essential tasks and some people being ignorant and not following the expectations ","Please make the right choices that keep you and others safe.","8","7","8","9","5","3","Yes"
"10","2020-04-06 07:51:41","2020-04-06 07:58:28","406","9","Anxiety","1","1","9","9","9","1","1","1","I feel very anxious every time I leave the house as a key worker in the telecommunications industry. I feel that the government should clearly state a key worker in this industry to stop companies from exploiting key worker status to make money over people's safety. For example stopping any new customers unless they fall in to the vulnerable categories and they do not have a working service. Everything else should be stopped. I would love to be allowed to work from home. I only leave the house to go to work. ","Stay at home unless you are a key worker. The people not adhering to the rules are the reason the NHS is overwhelmed ","9","9","9","7","3","3","Yes"
