prolific_id,startdate_wave1,enddate_wave1,duration_wave1,consent_given_wave1,worry_wave1,chosen_emotion_wave1,anger_wave1,disgust_wave1,fear_wave1,anxiety_wave1,sadness_wave1,happiness_wave1,relaxation_wave1,desire_wave1,text_long_wave1,timing_textlong_firstclick_wave1,timing_textlong_lastclick_wave1,timing_textlong_submit_wave1,timing_textlong_nclicks_wave1,text_short_wave1,timing_textshort_firstclick_wave1,timing_textshort_lastclick_wave1,timing_textshort_submit_wave1,timing_textshort_nclicks_wave1,self_rating_general_wave1,self_rating_short_wave1,self_rating_long_wave1,twitter_general_often_wave1,twitter_tweet_often_wave1,twitter_participate_often_wave1,eng_native_wave1,ntok_long_wave1,nchar_long_wave1,ntok_short_wave1,nchar_short_wave1,cld_lang_long_wave1,cld_lang_short_wave1,id_wave1,n_punct_wave1,prop_punct_wave1,session_id_wave1,status_wave1,started_datetime_wave1,completed_date_time_wave1,time_taken_wave1,age_wave1,num_approvals_wave1,num_rejections_wave1,prolific_score_wave1,reviewed_at_datetime_wave1,entered_code_wave1,Country of Birth_wave1,Current Country of Residence_wave1,Employment Status_wave1,First Language_wave1,Nationality_wave1,Sex_wave1,Student Status_wave1,wave_wave1,startdate_wave2,enddate_wave2,duration_wave2,consent_given_wave2,worry_wave2,chosen_emotion_wave2,anger_wave2,disgust_wave2,fear_wave2,anxiety_wave2,sadness_wave2,happiness_wave2,relaxation_wave2,desire_wave2,text_long_wave2,timing_textlong_firstclick_wave2,timing_textlong_lastclick_wave2,timing_textlong_submit_wave2,timing_textlong_nclicks_wave2,text_short_wave2,timing_textshort_firstclick_wave2,timing_textshort_lastclick_wave2,timing_textshort_submit_wave2,timing_textshort_nclicks_wave2,self_rating_general_wave2,self_rating_short_wave2,self_rating_long_wave2,twitter_general_often_wave2,twitter_tweet_often_wave2,twitter_participate_often_wave2,eng_native_wave2,ntok_long_wave2,nchar_long_wave2,ntok_short_wave2,nchar_short_wave2,cld_lang_long_wave2,cld_lang_short_wave2,id_wave2,n_punct_wave2,prop_punct_wave2,session_id_wave2,status_wave2,started_datetime_wave2,completed_date_time_wave2,time_taken_wave2,age_wave2,num_approvals_wave2,num_rejections_wave2,prolific_score_wave2,reviewed_at_datetime_wave2,entered_code_wave2,Country of Birth_wave2,Current Country of Residence_wave2,Employment Status_wave2,First Language_wave2,Nationality_wave2,Sex_wave2,Student Status_wave2,wave_wave2,anger_delta,anxiety_delta,desire_delta,disgust_delta,fear_delta,happiness_delta,relaxation_delta,sadness_delta,worry_delta,cluster,cluster_name,joint_id
anonymised_1,2020-04-06 12:07:50,2020-04-06 12:15:09,438,Yes,6,Anxiety,2,2,5,5,5,4,4,4,"I am more worried about getting access to my normal healthcare at  the moment, than being concerned about Corona. My usual treatments have been halted, so my health will deteriorate even if I don't catch the virus!
I am struggling to get routine prescriptions and medical appointments, which is making me feel powerless and anxious.
I am also feeling very sad, as I can not see my children and grandchildren and can not celebrate birthdays and anniversaries with them.
I have been advised to stay inside my house for twelve weeks. The thought of this is making me unhappy, as all that I want to do is to go outside for a walk, but that is not possible right now.",3.084,313.848,317.264,5,Not being able to cuddle my family sucks!,7.762,7.762,25.759,1,8,8,8,9,9,5,Yes,132,662,9,41,en,en,1207,13,0.02,5e8b6ff1b6828b040c63d54f,APPROVED,2020-04-06 18:07:48.316000,2020-04-06 18:15:11.706000,443.39,57,1512,10,100,2020-04-07 10:02:11.503000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 13:51:10,2021-03-05 13:56:34,324,Yes,6,Anxiety,4,4,6,6,8,5,5,5,"I am hopeful that the vaccine will help to bring back normality, but I am also worried that sending children back to school next week will start another wave of the virus, as numbers of infected people are still quite high.
I hope that I can see my family again soon. It has been a tough year for us all. Five loved ones have died, and a new baby has been born. We have not been able to either mourn the loses or celebrate the new baby. It has been a time of mixed emotions for us all and we need to know that we can come together some time soon to support each other.",1.024,146.239,187.192,5,"#Hopeful, but still scared.",6.172,6.172,18.03,1,8,8,8,9,9,2,Yes,124,568,6,27,en,,331,9,0.02,604299b726605d1be979f1c1,APPROVED,2021-03-05 20:51:08.112000,2021-03-05 20:56:39.472000,331.36,58,1856,12,99,2021-03-12 13:05:54.940000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,2,1,1,2,1,1,1,3,0,1,resignation,1
anonymised_2,2020-04-06 11:59:23,2020-04-06 12:13:08,824,Yes,6,Relaxation,1,1,1,2,2,5,6,4,"I am a little concerned that so many people are not staying at home and risking themselves and others just to enjoy the sunshine. I think the situation will get worse of the next few weeks but, hopefully, will then start to slowly improve. I'm worried what state the country will be left in as so many businesses will close down and the way we live in this country will be changed forever. So many small businesses and self-employed workers will struggle to survive. I am hopeful that a vaccine will be developed before the end of the year.",7.314,361.568,405.211,11,"Spending time at home with the family and working from home as I normally do. The big difference is not going out. I miss going for a drive out the the beach or the countryside with my dogs, or just to wonder around some shops and stopping for a coffee when I want. Stay safe ",16.174,70.55,248.644,2,6,4,5,6,3,3,Yes,106,540,59,276,en,en,1179,9,0.02,5e8b6df899a3700449790cf0,APPROVED,2020-04-06 17:59:22.169000,2020-04-06 18:13:09.894000,827.725,61,1158,14,99,2020-04-07 09:59:04.854000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave1,2021-03-07 07:07:32,2021-03-07 07:21:52,859,Yes,4,Relaxation,1,1,1,2,3,6,7,4,"Over the past twelve months, there has been little to look forward to with the constant lockdowns and other restrictions. At the moment, I think the current situation is starting to look better than it has for the last twelve months. Now that more and more people are being vaccinated, the infection rates and deaths are starting to fall rapidly. I think that provided that people respect the rules for a few more months then, hopefully, life can start getting back to something like normal later this year.",8.602,653.2,654.168,34,Things are starting to look better,8.155,8.155,72.159,1,7,6,6,3,2,3,Yes,97,507,6,34,en,en,1169,9,0.02,6044de1fc458b458383ab127,APPROVED,2021-03-07 14:07:30.447000,2021-03-07 14:21:54.094000,863.647,62,1388,15,99,2021-03-12 13:48:13.962000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave2,0,0,0,0,0,1,1,1,-2,1,resignation,2
anonymised_3,2020-04-06 13:57:41,2020-04-06 14:04:06,384,Yes,3,Relaxation,2,1,2,2,4,6,8,7,"I feel relaxed. I'm aware of the risks and I'm doing my very best to mitigate against them & I'm also pleased to see others in my local community doing the same. I feel positive about the future & about life going forward from this point. I find it hard to conceive of the disease touching me personally, yet I know there is every chance that it will. I have concern for older relatives, particularly my mother, and for other people I know in the community. I'm trying to remain positive and look ahead to the end of the lockdown period whenever that may be.",3.623,133.192,187.493,2,"I'm OK, I'm feeling positive, but also a little apprehensive. On the whole, I believe we will get through this very soon.",7.233,75.956,76.346,5,6,5,7,9,7,7,Yes,114,558,27,121,en,en,2342,15,0.03,5e8b89b05bb3dc0704d396c2,APPROVED,2020-04-06 19:57:39.789000,2020-04-06 20:04:10.346000,390.557,47,1630,2,100,2020-04-07 10:22:27.125000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave1,2021-03-05 13:01:27,2021-03-05 13:08:39,432,Yes,4,Relaxation,2,2,3,3,5,5,6,2,"I feel the Corona situation is getting better, however I also feel it has been badly mismanaged by the government. I feel saddened at the amount of avoidable deaths that have occurred because we didn't lockdown soon enough on 3 occasions, I feel angry at the way the government has tried to blame people for behaving badly when they made the biggest mistakes. I feel like the recovery will hit the poorest hardest and that will be incredibly unfair. Once the situation has been improved, I suspect the NHS will once again be left to fend for itself and won't be funded to the degree that is necessary. I suspect that the government will seize the opportunity to impose more austerity on the population.",2.901,166.879,239.725,6,"I feely our government's response like we are getting over the worst, but we will be disadvantaged by our governments long-term response.",1.472,33.75,68.336,3,8,8,8,9,7,7,Yes,132,702,24,137,en,en,79,10,0.01,60428e100fe898191296b4e9,APPROVED,2021-03-05 20:01:25.510000,2021-03-05 20:08:42.735000,437.225,48,2056,2,100,2021-03-12 12:49:56.181000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave2,0,1,-5,1,1,-1,-2,1,1,1,resignation,3
anonymised_4,2020-04-06 12:40:37,2020-04-06 12:49:48,550,Yes,5,Anxiety,2,2,2,4,2,3,3,1,"I feel a little stressed by it all, I would like to go outside and have my freedom back and just do normal things again. The issue of grocery shopping is a stress too, as it is almost impossible to get a delivery slot, so I may need to go to the supermarket, which is not exactly in keeping with the lockdown and social distancing.
It feels a little claustrophobic at times being stuck indoors.
I feel that it will take a lot longer than most people think to get back to normal, with a longer lockdown than anticipated.",51.037,162.856,168.052,21,"Feeling stressed about the whole situation, wish the lockdown and virus was over already.",5.933,5.933,26.774,1,8,6,7,3,1,1,Yes,108,519,16,89,en,en,1654,9,0.02,5e8b77a3b3e3c3049fec3610,APPROVED,2020-04-06 18:40:36.361000,2020-04-06 18:49:49.853000,553.492,37,1118,7,100,2020-04-07 10:09:17.921000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave1,2021-03-05 13:12:51,2021-03-05 13:20:22,451,Yes,4,Sadness,2,1,1,1,4,1,2,1,"I am quite tired of it by now, it has been over a year and still we aren't back to normal. I just want things back to how they were, with being able to go where you wanted, when you wanted and without having to wear or see masks everywhere I go. I am no longer feeling tolerant about it. I am also quite sceptical that the vaccine will enable us to get back to normal, I think the government will be too slow and I am not a fan of vaccine passports either as I think this will limit a lot of people in doing the things that they want to do, or travelling where they want.",4.08,272.437,280.316,16,"feeling tired about corona, just want things back to normal.",5.041,5.041,34.107,1,7,5,8,9,2,2,Yes,127,571,12,60,en,en,191,10,0.02,604290bca013a2197a17c0f2,APPROVED,2021-03-05 20:12:44.894000,2021-03-05 20:20:24.679000,459.785,38,1486,7,100,2021-03-12 12:58:04.796000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave2,0,-3,0,-1,-1,-2,-1,2,-1,1,resignation,4
anonymised_5,2020-04-06 10:03:21,2020-04-06 10:11:55,513,Yes,8,Anxiety,6,6,7,8,6,3,3,3,"i feel very up in the air.im also concerned we were told that it didnt really affect some people,like the young.But it is and that frightens me.
im worried about money as im self employed,i just wish we knew when it would end.
i worry about my family.
im also very annoyed that people arent taking it seriously.
it seems very surreal,i cant belive this is happening.
its a scary situation and i cant see how this can end,but it will end so the positivity has to be there.
queen did very well
we will meet again.",8.439,302.438,314.401,18,Like WTAF!,2.541,52.107,54.005,11,8,9,5,8,3,2,Yes,112,511,3,10,en,haw,343,13,0.03,5e8b52c5c1927a010e765b2c,APPROVED,2020-04-06 16:03:19.348000,2020-04-06 16:12:01.185000,521.837,43,610,9,99,2020-04-07 09:45:43.957000,45CBCD80,Germany,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave1,2021-03-06 05:06:20,2021-03-06 05:15:12,531,Yes,7,Anger,6,3,5,6,4,4,2,1,"I would probably say immense disbelief.I still cant believe that it happened.I am beyond angry how things have been dealt with by the powers that be.Im a little frightened,but less than last year.I am very apprehensive about the vaccine and my mental health is shot.
I am watching the world fall apart,and yet part of me thinks that its actually not that bad of an illness in the majority of us.I think the worse is yet to come. We will be paying both money and mentally for this for years to come. I cant really see a way out.I have absolutely no faith in this government,and little faith in humanity itself.",2.939,264.386,266.015,16,Stop the world I want to get off.,3.944,17.206,18.282,2,4,4,7,6,4,7,Yes,121,609,9,33,en,en,973,13,0.02,6043703aeea59631ae7fa54a,APPROVED,2021-03-06 12:06:18.684000,2021-03-06 12:15:17.812000,539.128,44,804,11,98,2021-03-12 13:41:37.789000,45CBCD80,Germany,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave2,0,-2,-2,-3,-2,1,-1,-2,-1,2,wellcoping,5
anonymised_6,2020-04-06 09:50:43,2020-04-06 09:56:34,350,Yes,7,Anxiety,1,1,3,8,2,6,4,2,"I currently feel okay, I am safe in my house and neither myself or my partner have any symptoms. I am beginning to feel restless at the thought of the lock down lasting for many more weeks, but I'm still happy to comply to make sure myself, my family and community will be safe. I have stopped looking at online news and restricted my social media time as the constant influx of information and opinions was taking a negative toll on my mental health. I am beginning to question a number of things about the virus and its spread, but am trying not to get too bogged down in the idea of conspiracy theories, as this is not conducive to my mental health either. ",3.762,197.03,198.228,11,STAY AT HOME!,4.77,11.528,13.344,2,7,7,7,8,7,7,Yes,133,660,4,13,en,en,231,10,0.02,5e8b4fce72769b0167c16025,APPROVED,2020-04-06 15:50:41.375000,2020-04-06 15:56:37.064000,355.689,28,279,2,100,2020-04-07 09:43:52.701000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes,wave1,2021-03-07 07:10:02,2021-03-07 07:16:19,377,Yes,6,Anxiety,1,1,2,6,1,5,3,3,"I am exhausted with and by it. I wish life would go back to the way it was before, we've been locked away for too long now and eventually we will have to live with it as a risk we're willing to take. I think a lot of serious things have been undermined or covered up under the guise of the pandemic, and think this should come to light. I don't doubt that the virus is very real, and serious, however I think it is being used as a way to bring in harsher and more stringent measures to monitor, control and manipulate society by the government. ",4.418,179.435,181.142,8,The burn out is real. ,6.833,40.036,41.215,4,8,8,8,3,3,3,Yes,116,545,6,22,en,en,1168,12,0.02,6044deb7611b8a57a9d4f554,APPROVED,2021-03-07 14:09:59.338000,2021-03-07 14:16:22.300000,382.962,29,460,3,100,2021-03-12 13:48:16.240000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes,wave2,0,-2,1,0,-1,-1,-1,-1,-1,1,resignation,6
anonymised_7,2020-04-06 11:59:16,2020-04-06 12:06:35,438,Yes,5,Relaxation,3,1,4,2,3,7,7,2,"I am fed up about not being able to go out when I want, I miss going to the shops and seeing other people.  I don't like schooling my child from home as it takes up time that I could be doing other things.  But it is good to be able to spend more time with my child and my husband.  I miss being able to go out for dinner.  Its annoying that we do not know how long this is going to last and I am worried that my holiday may get cancelled, as, as a family we have all been looking forward to it since last year, ",1.254,191.278,191.668,14,frustrated at staying home and not knowing when this will end,5.302,22.183,22.629,3,6,3,9,3,2,3,Yes,117,512,11,61,en,en,1063,9,0.02,5e8b6df08a69ed040fac4d58,APPROVED,2020-04-06 17:59:15.230000,2020-04-06 18:06:39.314000,444.084,49,974,14,99,2020-04-07 09:59:01.616000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave1,2021-03-05 13:31:45,2021-03-05 13:49:12,1046,Yes,3,Relaxation,1,1,1,1,1,8,9,5,"Okay, bored and fed up of not being able to do as much as usual, like go shopping and out for meals, go out for the day with my family. Unhappy that we can see more of my friends and family,  am missing having less people to talk to.  Happy that me and my family are all well and feeling healthy. Also I am fed up with homeschooling my child, as I have to work at the same time and this can be quite stressful. But looking forward to getting back to normal life later in the year.  I managing each day as it comes and keep busy at home.  ",7.301,852.361,852.896,81,"Feeling bored, stuck indoor all the time, 
missing friends and family.  Looking forward to getting out of the house more in the future, going out for dinner and going on holiday. ",6.678,93.883,94.4,9,3,2,8,2,2,2,Yes,121,538,36,179,en,en,313,11,0.02,604295288925be1966cdcf63,APPROVED,2021-03-05 20:31:43.324000,2021-03-05 20:49:17.309000,1053.985,50,1174,15,99,2021-03-12 13:02:32.502000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave2,-2,-1,3,0,-3,1,2,-2,-2,2,wellcoping,7
anonymised_8,2020-04-06 12:29:35,2020-04-06 12:42:00,744,Yes,9,Sadness,4,1,9,9,9,1,1,1,"At this very moment, I am feeling very fearful and sad about the Corona situation. I am afraid of contracting the virus and fear for my health and the health of my family. I am also very worried and anxious about the financial impact the situation will cause now and in the future. I'm feeling sad about the loss of life and about life coming to a standstill. I miss my family and friends keeping in touch by text and video call just isn't the same, I'm upset that I can't give them a hug. I also feel very helpless as I can't really do much to help anyone or the situation.",6.976,429.346,466.082,9,"I'm feeling quite sad today, the enormity of the Corona situation comes in waves. I miss my normal life and wonder if life will be normal ever again.",6.082,6.082,134.021,1,8,8,8,9,8,8,Yes,120,574,31,149,en,en,1575,13,0.02,5e8b750880b045046979cf5f,APPROVED,2020-04-06 18:29:32.574000,2020-04-06 18:42:03.125000,750.551,42,474,5,99,2020-04-07 10:06:59.619000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave1,2021-03-05 13:53:37,2021-03-05 14:01:32,475,Yes,7,Desire,1,1,2,3,2,6,6,7,At the moment I feel quite optimistic about the Corona situation with the news that the figures show the vaccine is working well. I feel quite hopeful for the future and that life will feel a little more 'normal' soon. I am eager to start making plans for myself and my family to have days out and enjoy life again. I'm feeling a little anxious at the same time as I am worried that we might have to endure more lockdowns and restrictions if the figures start going in the wrong direction again. I do feel that life will return to normal but I think this may take longer than we all hope.,4.908,238.787,239.819,5,"I'm feeling hopeful that life will feel a little more 'normal' soon, the figures are heading in the right direction and the vaccine looks to be working well. Fingers crossed this will be the last lockdown.",13.693,63.182,80.178,3,9,7,9,9,8,8,Yes,120,588,41,205,en,en,348,8,0.01,60429a4bcefd481af8bcbfb4,APPROVED,2021-03-05 20:53:35.342000,2021-03-05 21:01:35.426000,480.084,43,715,5,100,2021-03-12 13:06:27.017000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave2,-3,-6,6,0,-7,5,5,-7,-2,2,wellcoping,8
anonymised_9,2020-04-06 11:58:29,2020-04-06 12:06:26,476,Yes,9,Anxiety,7,5,8,8,8,1,2,2,"I feel worried and anxious although a sense of relief that having seen other european countries having reached peak that we will to. I know that this wont last forever and i cant control things outside my home but i can control my family and what is in my power to get through the worst. i feel the fear of the unknown is what is making it worse, not being able to plan things. i feel worried that when things to start to return to normal that im not sure how i will feel. i just want to be able to fast forward time when this wont consume my thoughts 24/7",4.347,255.636,291.134,9,i am scared for now but positive for the future,3.777,3.777,38.382,1,9,8,6,7,2,2,Yes,118,556,10,47,en,en,1061,6,0.01,5e8b6dbd0b840502e3f13d93,APPROVED,2020-04-06 17:58:25.748000,2020-04-06 18:06:32.004000,486.256,40,685,5,100,2020-04-07 09:58:36.770000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 13:22:21,2021-03-05 13:30:15,473,Yes,6,Anger,8,6,4,6,8,2,3,4,"i feel like this country cannot keep people locked down until june when the nhs isnt under as much pressure. it is ruining the economy and people health is at more risk of other problems rather than covid. i feel the unvaccinated people shouldnt also be penalised for the decision they make to not get the vaccine. i think its wrong to be kept locked down now when cases are so low. people need to learn to live with the virus, we wont eradicate it and we cant stay inside waiting for an impossible scenario",3.906,162.173,198.174,10,ease the restrictions now to end the suffering,77.225,77.225,105.147,1,8,9,9,8,5,2,Yes,100,507,8,46,en,en,245,5,0.01,604292dd93678f1950d91b09,APPROVED,2021-03-05 20:21:49.297000,2021-03-05 20:30:23.111000,513.814,41,982,6,100,2021-03-12 13:00:50.281000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,1,-2,2,1,-4,1,1,0,-3,2,wellcoping,9
anonymised_10,2020-04-06 13:28:16,2020-04-06 13:42:33,856,Yes,7,Anxiety,1,1,2,7,4,1,1,1,"I am confused, there are conflicting opinions from different sources about the best way to handle things. I am sad, mainly for others who are suffering greater hardship that me, but also for myself. I am missing my family and friends, I worry for them. I am anxious about the outcome, not only in terms of the health implications, but also for the economic future of the world. I also feel proud of the way the uk government are handling the crisis, and pleased that the vast majority of citizens who are complying with the new rules. ",6.448,512.395,534.228,25,#we will come through this,15.985,15.985,90.2,1,5,1,5,2,1,1,Yes,109,535,5,26,en,en,2207,12,0.02,5e8b82ca2cb7e505f0ee5062,APPROVED,2020-04-06 19:28:10.051000,2020-04-06 19:42:36.613000,866.562,64,1769,4,100,2020-04-07 10:18:50.465000,45CBCD80,United Kingdom,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 13:02:26,2021-03-05 13:14:31,724,Yes,6,Relaxation,1,1,1,1,1,5,8,1,"I am happy because I have had my first vaccination, and that the vaccination rollout is going well, but I am still concerned about many things - the economy of the UK and the world as a whole - children's education - people's mental health. I feel in a constant state of limbo, always waiting for the next announcement or development. I feel unable to make any long term plans or decisions. I think that the government is doing as well as they can, there are no right answers in this situation, only a choice of least wrong ones.",5.853,492.899,496.168,15,Don't give up now,4.717,4.717,39.141,1,6,4,6,3,2,2,Yes,108,529,4,17,en,en,143,14,0.03,60428e4d93678f18d8a3c73b,APPROVED,2021-03-05 20:02:21.470000,2021-03-05 20:14:33.138000,731.668,65,2145,4,100,2021-03-12 12:51:13.259000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,0,-6,0,0,-1,4,7,-3,-1,2,wellcoping,10
