"","Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","id"
"1","1053.txt",1,97,35.31,73.19,7.53,1.48,19.4,12.37,93.81,53.61,15.46,8.25,3.09,4.12,0,0,1.03,7.22,8.25,8.25,12.37,4.12,9.28,1.03,21.65,9.28,3.09,1.03,0,4.12,9.28,3.09,6.19,4.12,0,0,10.31,1.03,0,0,0,14.43,1.03,3.09,6.19,4.12,0,4.12,0,0,0,0,1.03,0,1.03,0,0,17.53,5.15,2.06,4.12,4.12,3.09,1.03,18.56,2.06,10.31,4.12,5.15,2.06,3.09,1.03,3.09,0,0,0,0,0,0,0,0,0,17.53,5.15,6.19,0,1.03,0,0,1.03,0,4.12,0,0,1053
"2","1735.txt",1,103,20.49,38.53,4.29,1,25.75,16.5,93.2,54.37,10.68,3.88,1.94,0,0,0.97,0.97,6.8,1.94,11.65,7.77,9.71,12.62,4.85,17.48,8.74,0.97,0,0.97,2.91,13.59,0,13.59,3.88,1.94,4.85,6.8,1.94,0,0,1.94,11.65,0.97,0,3.88,3.88,2.91,2.91,0,0,0,0,0.97,0,0.97,0,0,7.77,0.97,0.97,0.97,3.88,0.97,1.94,9.71,3.88,9.71,1.94,4.85,2.91,1.94,0.97,0.97,1.94,0,1.94,0,0,0,0,0,0,6.8,2.91,3.88,0,0,0,0,0,0,0,0,0,1735
"3","2228.txt",1,147,40.66,18.83,89.63,1,14.7,14.29,91.16,60.54,19.73,9.52,7.48,0.68,0,0,1.36,10.2,6.8,14.29,8.84,8.16,6.12,2.04,18.37,2.72,1.36,2.72,0.68,2.04,7.48,2.04,5.44,3.4,0.68,0.68,7.48,0,0,0,0,20.41,4.76,0.68,3.4,8.84,2.72,7.48,2.04,0,0,2.04,2.04,0.68,1.36,0,0,3.4,0.68,1.36,0.68,1.36,0,1.36,12.24,2.04,12.24,2.04,7.48,2.72,1.36,0,0,0,0,0.68,0,0,0,0,0,0,15.65,6.8,3.4,0,0,0,0,0,0,4.08,1.36,0,2228
"4","1721.txt",1,156,15.66,24.03,95.85,16.59,13,20.51,94.87,56.41,23.08,15.38,12.82,0.64,0,0,1.92,7.69,2.56,13.46,8.97,9.62,7.69,1.28,18.59,8.33,2.56,1.28,0.64,1.28,12.18,5.13,5.77,3.85,0,1.28,11.54,1.28,0.64,0,0,16.03,3.21,1.28,1.28,3.21,2.56,5.13,3.85,1.28,1.28,1.28,3.85,0.64,2.56,0,0,7.05,4.49,0.64,1.28,0.64,0.64,1.28,17.95,1.28,11.54,1.28,7.05,4.49,1.92,1.28,1.28,0.64,0,1.28,0,0,0,0,0,0,15.38,7.69,0.64,0,0,0,0,0.64,0,5.77,0,0.64,1721
"5","1047.txt",1,98,36,37.96,39.4,4.76,16.33,16.33,91.84,66.33,17.35,8.16,7.14,1.02,0,0,0,9.18,6.12,17.35,15.31,6.12,9.18,1.02,23.47,3.06,2.04,1.02,1.02,1.02,8.16,3.06,5.1,4.08,1.02,0,6.12,0,0,0,0,11.22,2.04,2.04,0,1.02,4.08,2.04,2.04,1.02,0,1.02,3.06,0,2.04,0,0,8.16,2.04,0,3.06,3.06,0,3.06,13.27,2.04,8.16,1.02,5.1,2.04,1.02,0,0,0,0,0,0,0,0,0,0,0,9.18,6.12,0,0,0,0,0,1.02,0,2.04,0,0,1047
"6","2200.txt",1,101,85.09,24.4,98.21,1,20.2,14.85,90.1,58.42,12.87,6.93,5.94,0.99,0,0,0,5.94,8.91,18.81,8.91,5.94,4.95,0.99,15.84,5.94,4.95,1.98,0.99,2.97,9.9,1.98,5.94,3.96,0,0,4.95,0.99,0.99,0,0,15.84,4.95,0,3.96,2.97,1.98,5.94,1.98,0,0,1.98,0.99,0,0,0,0,4.95,3.96,0,0,0,0.99,0,12.87,0.99,20.79,2.97,12.87,4.95,0,1.98,0.99,0,0,0,0,0,0,0,0,0,10.89,4.95,4.95,0,0,0,0,0.99,0,0,0,0,2200
"7","1709.txt",1,103,71.33,10.36,80.75,1,25.75,20.39,90.29,54.37,13.59,11.65,11.65,0,0,0,0,1.94,6.8,16.5,9.71,3.88,7.77,0.97,14.56,6.8,1.94,0,0.97,3.88,9.71,0.97,8.74,4.85,0,3.88,1.94,0.97,0,0,0,2.91,0,0.97,0,0,0,1.94,0,0,0,0,2.91,0,2.91,0,0,5.83,0.97,0.97,0.97,1.94,0.97,1.94,8.74,0.97,12.62,1.94,3.88,6.8,3.88,0,0.97,0.97,0,0,0,0,0,0,0,0,4.85,2.91,0.97,0,0,0,0,0.97,0,0,0,0,1709
"8","289.txt",1,121,54.25,20.43,81.8,6.99,20.17,13.22,90.08,59.5,11.57,4.96,3.31,0,0,0,1.65,6.61,7.44,14.88,10.74,6.61,9.09,3.31,21.49,5.79,3.31,0,0,4.13,3.31,0.83,2.48,0.83,0,0.83,4.96,0,0,0,0,17.36,4.13,0.83,3.31,5.79,3.31,6.61,2.48,0,0,2.48,0.83,0,0.83,0,0,6.61,0.83,1.65,1.65,1.65,0.83,0.83,15.7,4.13,15.7,3.31,8.26,4.96,0.83,0,0,0,0,0.83,0,0,0,0,0,0,4.96,4.96,0,0,0,0,0,0,0,0,0,0,289
"9","2214.txt",1,119,69.28,50,79.99,72.92,19.83,15.13,86.55,52.94,12.61,9.24,5.88,0.84,0,0,2.52,3.36,9.24,12.61,12.61,2.52,4.2,3.36,22.69,6.72,3.36,1.68,1.68,1.68,4.2,3.36,0.84,0,0.84,0,9.24,0.84,1.68,0,0,6.72,0.84,1.68,0,3.36,0,0.84,1.68,0.84,0.84,0,0,0,0,0,0,10.92,4.2,2.52,2.52,3.36,0,3.36,15.97,0.84,18.49,5.04,7.56,6.72,1.68,0,0,0.84,0,0,0,0,0,0,0,0,15.13,5.04,3.36,0,0,0,0,1.68,0,3.36,1.68,0,2214
"10","504.txt",1,131,68.53,67.64,5.59,7.88,16.38,24.43,87.02,50.38,11.45,7.63,0,3.05,0,2.29,2.29,3.82,9.16,9.92,9.16,2.29,7.63,2.29,16.03,5.34,3.82,0,0,4.58,6.11,2.29,3.82,0,1.53,0,10.69,0,0,0,3.82,19.08,2.29,1.53,2.29,3.05,5.34,6.11,0,0,0,0,3.05,0,2.29,0.76,0,9.92,3.05,2.29,4.58,0,0,1.53,12.21,1.53,7.63,1.53,2.29,3.82,4.58,0,0,3.05,0,0,0.76,0.76,0,0,0,0,10.69,6.11,3.82,0,0,0,0,0,0,0.76,0,0,504
