"","Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","id"
"1","1053.txt",1,26,82,93.79,5.76,1,8.67,23.08,96.15,38.46,15.38,7.69,3.85,3.85,0,0,0,7.69,3.85,11.54,7.69,0,0,0,15.38,3.85,3.85,3.85,0,3.85,26.92,3.85,23.08,3.85,3.85,0,15.38,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,0,0,3.85,0,3.85,0,0,19.23,3.85,3.85,0,3.85,7.69,0,19.23,0,7.69,3.85,3.85,0,3.85,0,3.85,0,0,0,0,0,0,0,0,0,23.08,11.54,0,0,3.85,0,0,0,0,7.69,0,0,1053
"2","1735.txt",1,24,92.84,50,23.51,1,24,25,87.5,54.17,8.33,0,0,0,0,0,0,8.33,8.33,20.83,4.17,8.33,4.17,4.17,8.33,8.33,0,0,0,0,20.83,4.17,16.67,4.17,0,8.33,4.17,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,0,0,4.17,0,8.33,16.67,0,12.5,4.17,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,1735
"3","2228.txt",1,5,92.84,1,99,99,2.5,20,100,40,0,0,0,0,0,0,0,0,0,20,0,0,0,20,20,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,40,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2228
"4","1721.txt",1,24,26.8,33.83,23.51,1,12,8.33,95.83,54.17,4.17,4.17,4.17,0,0,0,0,0,8.33,8.33,8.33,16.67,16.67,0,8.33,12.5,0,4.17,0,4.17,29.17,8.33,20.83,12.5,0,8.33,4.17,0,0,0,0,12.5,0,4.17,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,8.33,0,4.17,0,4.17,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,16.67,0,0,0,0,0,0,0,0,0,1721
"5","1047.txt",1,11,79.25,96.52,85.21,1,11,18.18,100,45.45,9.09,9.09,0,9.09,0,0,0,0,9.09,9.09,9.09,0,9.09,0,27.27,0,0,0,9.09,9.09,9.09,0,9.09,9.09,0,0,9.09,0,0,0,0,18.18,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,9.09,9.09,18.18,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,1047
"6","2200.txt",1,4,99,50,74.76,25.77,4,50,75,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,2200
"7","1709.txt",1,22,87.28,67.52,31.94,25.77,11,22.73,86.36,45.45,18.18,9.09,4.55,4.55,0,0,0,9.09,4.55,18.18,0,9.09,0,0,13.64,0,0,0,0,4.55,9.09,4.55,4.55,4.55,0,0,4.55,0,0,0,0,13.64,4.55,0,4.55,4.55,4.55,0,4.55,0,0,4.55,4.55,0,4.55,0,0,9.09,4.55,0,0,4.55,0,0,9.09,4.55,13.64,4.55,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,1709
"8","289.txt",1,7,92.84,50,1,25.77,7,0,71.43,28.57,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289
"9","2214.txt",1,3,99,50,99,25.77,3,0,100,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,66.67,33.33,66.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214
"10","504.txt",1,13,42.69,77.92,1,1,13,30.77,76.92,53.85,15.38,7.69,0,0,0,0,7.69,7.69,7.69,7.69,15.38,0,7.69,0,15.38,0,0,0,7.69,0,7.69,0,7.69,0,7.69,0,7.69,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,15.38,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,504
"11","1090.txt",1,12,99,99,99,25.77,6,16.67,83.33,50,16.67,16.67,0,8.33,8.33,0,0,0,16.67,16.67,0,0,0,0,16.67,16.67,16.67,0,0,8.33,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,16.67,0,41.67,16.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,8.33,0,0,0,0,0,0,0,0,16.67,1090
"12","262.txt",1,2,1.8,50,1,1,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
"13","276.txt",1,13,1,99,1.4,25.77,13,7.69,84.62,69.23,38.46,38.46,0,15.38,23.08,0,0,0,0,7.69,15.38,0,7.69,0,15.38,15.38,15.38,0,0,0,15.38,7.69,7.69,0,0,0,38.46,0,0,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,30.77,15.38,7.69,15.38,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,0,0,0,7.69,0,0,0,0,0,276
"14","1084.txt",1,11,56.58,3.48,31.94,1,11,27.27,100,54.55,0,0,0,0,0,0,0,0,9.09,9.09,0,9.09,18.18,9.09,18.18,9.09,0,0,0,0,27.27,0,27.27,27.27,0,0,0,0,0,0,0,27.27,9.09,0,0,9.09,0,9.09,9.09,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,9.09,0,0,1084
"15","510.txt",1,25,13.41,5.5,96.63,25.77,25,16,92,64,16,8,8,0,0,0,0,8,4,16,24,8,4,4,28,8,4,0,0,4,8,4,4,0,0,0,4,0,4,0,0,12,4,0,0,0,0,8,4,4,0,4,0,0,0,0,0,8,4,0,0,0,4,8,16,0,12,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,0,0,0,0,0,0,8,0,0,510
"16","538.txt",1,9,4.38,1.38,98.01,1,4.5,0,100,66.67,33.33,22.22,22.22,0,0,0,0,11.11,0,11.11,0,22.22,0,0,11.11,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,22.22,0,22.22,0,0,0,0,0,0,0,0,0,22.22,0,22.22,0,11.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,0,0,0,0,0,538
